cohort,question_id,participant_id,source_video_id,category,question_type,anchor_layer,target_layer,distance_from_anchor,anchor_native_temporal_entropy,native_retained_target_layer_mass,native_oracle_top50_target_layer_mass,reuse_efficiency,native_source_target_top2_jaccard,native_source_target_spearman,selected_native_unit_ids,selected_analysis_bins,selected_units_adjacent,normalized_temporal_coverage_span,contains_first_unit,contains_last_unit,descriptive_eight_bin_anchor_entropy,descriptive_eight_bin_retained_mass,descriptive_eight_bin_top4_oracle_mass
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,8,9,1,0.9421772662029592,0.6483888219578152,0.6483888219578152,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9614515107986732,0.6483888219540341,0.6483888219540341
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,8,10,2,0.9421772662029592,0.6422401412187747,0.6422401412187747,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9614515107986732,0.642240141211072,0.642240141211072
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,8,11,3,0.9421772662029592,0.6258386137353799,0.6258386137353799,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9614515107986732,0.6258386137316606,0.6258386137316606
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,12,13,1,0.9825875279691726,0.5493425460036692,0.5597139099508326,0.9814702408448729,0.3333333333333333,0.39999999999999997,0 1,0 1 2 3,True,0.5,True,False,0.9883916853096805,0.5493425460008878,0.5597139099479987
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,12,14,2,0.9825875279691726,0.6151259251736855,0.6151259251736855,1.0,1.0,1.0,0 1,0 1 2 3,True,0.5,True,False,0.9883916853096805,0.6151259251708192,0.6151259251708192
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,12,15,3,0.9825875279691726,0.49154720089719717,0.5084527991028028,0.9667508995221648,0.0,-0.7999999999999999,0 1,0 1 2 3,True,0.5,True,False,0.9883916853096805,0.4915472008942189,0.5084527990997222
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,16,17,1,0.9962987973221896,0.5303783204793651,0.5336296913041743,0.9939070653717507,0.3333333333333333,0.19999999999999998,0 2,0 1 4 5,False,0.75,True,False,0.9975325315449363,0.5303783204744394,0.5336296912992184
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,16,18,2,0.9962987973221896,0.5189590568132287,0.5189590568132287,1.0,1.0,1.0,0 2,0 1 4 5,False,0.75,True,False,0.9975325315449363,0.518959056809421,0.518959056809421
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,16,19,3,0.9962987973221896,0.5467208615168364,0.5540076953281874,0.9868470530774228,0.3333333333333333,0.7999999999999999,0 2,0 1 4 5,False,0.75,True,False,0.9975325315449363,0.5467208615136044,0.5540076953249125
development,fine_grained_action_recognition_1705,P06,P06-20240510-121619,fine_grained,fine_grained_action_recognition,20,21,1,0.9968193610331945,0.5539301824767549,0.5760828698966678,0.9615460056573345,0.3333333333333333,0.39999999999999997,0 3,0 1 6 7,False,1.0,True,True,0.997879574018342,0.5539301824719801,0.5760828698917022
